categoria,subcategoria,subcategoriaId,formularioId,sectorId,arquetipo,consumo,planRecomendado,planSchemaId,planMinimoSostenible,debeSubirPlan,precioMensualMXN,ivaIncluido,costoStorageMXN,costoEgressMXN,costoFirestoreMXN,costoFijoOpsMXN,costoTotalMXN,costoViralMXN,comisionPasarelaMXN,margenBrutoMXN,margenNetoMXN,margenNetoPct,semaforo,riesgoCosto,indiceRiesgoCosto,justificacionTecnica,justificacionComercial
Adultos y Entretenimiento para Adultos,Escort,escort,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Escort Gay,escort gay,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Escort VIP,escort vip,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Edecán,edecan,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Stripper,stripper,adultos,adultos,persona_espectaculo,Alto,Especial,vip,Especial,,1999,si,0,0.81,0.3,1.89,3,7.37,71.96,1996,1924.04,96.25,amarillo,Alto,22.11,"Arquetipo persona_espectaculo, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Costo storage 0 MXN (0.006679999999999999 GB). Egress 0.81 MXN (0.3843 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
Adultos y Entretenimiento para Adultos,Modelos,modelos,adultos,adultos,persona_acompanante,Alto,Especial,vip,Especial,,1999,si,0,0.81,0.3,1.89,3,7.37,71.96,1996,1924.04,96.25,amarillo,Alto,22.11,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Costo storage 0 MXN (0.006679999999999999 GB). Egress 0.81 MXN (0.3843 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
Adultos y Entretenimiento para Adultos,Gigoló,gigolo,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Acompañante,acompanante,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Petit,petit,adultos,adultos,persona_acompanante,Alto,Premium,premium,Especial,Premium → Especial,1299,si,0,0.77,0.29,1.89,2.95,7.28,46.76,1296.05,1249.29,96.17,rojo,Alto,21.83,"Arquetipo persona_acompanante, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Costo storage 0 MXN (0.00477 GB). Egress 0.77 MXN (0.3676 GB). Firestore 0.29 MXN (17555 lecturas, 3330 escrituras). Plan schema: premium; cupo 10 fotos.",Conversión por contacto rápido y promoción; mensajería intensa y visibilidad premium.
Adultos y Entretenimiento para Adultos,Contenido,contenido,adultos,adultos,persona_creador,Alto,Especial,vip,Especial,,1999,si,0,2.26,0.3,1.89,4.45,12.26,71.96,1994.55,1922.59,96.18,amarillo,Alto,36.77,"Arquetipo persona_creador, formulario adultos, baseline 3 fotos en mapa. Mensajes internos: módulo dashboard/SPEC-MESSENGER (texto; adjuntos en diseño, storage MVP limitado). Lives/estados: diseño PLAN-MAESTRO-INTERACCIONES (cuota 30 min/día en spec). Venta digital/packs: subcategoría creador + Economía Social congelada (sin runtime). Costo storage 0 MXN (0.006679999999999999 GB). Egress 2.26 MXN (1.0785 GB). Firestore 0.3 MXN (17555 lecturas, 3570 escrituras). Plan schema: vip; cupo 15 fotos.",Monetiza relación + contenido digital; alto LTV; justifica fee superior y add-ons storage.
